Country Name,Country Code,GDPPPP_2024
Aruba,ABW,4812141511.37331
Africa Eastern and Southern,AFE,3159001302002.33
Afghanistan,AFG,
Africa Western and Central,AFW,3128703880293.09
Angola,AGO,337255560567.664
Albania,ALB,48948599655.9842
Andorra,AND,5402033635.11601
Arab World,ARB,8248404724262.38
United Arab Emirates,ARE,765771908236.642
Argentina,ARG,1223376004342.6
Armenia,ARM,60908993989.5524
American Samoa,ASM,
Antigua and Barbuda,ATG,2754237217.77357
Australia,AUS,1640076053462.49
Austria,AUT,585445837925.664
Azerbaijan,AZE,225198385162.317
Burundi,BDI,14767865865.0483
Belgium,BEL,751216687125.378
Benin,BEN,56423799507.9997
Burkina Faso,BFA,59994577724.1268
Bangladesh,BGD,1472986459828.03
Bulgaria,BGR,209744996385.211
Bahrain,BHR,93559684338.3106
"Bahamas, The",BHS,14544121121.0956
Bosnia and Herzegovina,BIH,61804531320.6104
Belarus,BLR,265220428363.568
Belize,BLZ,5264035959.20123
Bermuda,BMU,7065486356.13778
Bolivia,BOL,140632330052.604
Brazil,BRA,4166273441898.55
Barbados,BRB,6168436783.44456
Brunei Darussalam,BRN,36588151541.3938
Bhutan,BTN,
Botswana,BWA,45553212807.2757
Central African Republic,CAF,5923566230.74976
Canada,CAN,2341345308573.89
Central Europe and the Baltics,CEB,4249457451657.25
Switzerland,CHE,741034943164.658
Channel Islands,CHI,
Chile,CHL,596555875617.396
China,CHN,33597882047418.8
Cote d'Ivoire,CIV,215461462281.624
Cameroon,CMR,143199513689.651
"Congo, Dem. Rep.",COD,175068770052.875
"Congo, Rep.",COG,39147012969.3478
Colombia,COL,977192682078.988
Comoros,COM,3018062220.97688
Cabo Verde,CPV,5169488779.6525
Costa Rica,CRI,138371299881.655
Caribbean small states,CSS,154235779792.371
Cuba,CUB,
Curacao,CUW,4485931928.22728
Cayman Islands,CYM,
Cyprus,CYP,48736243236.9676
Czechia,CZE,523047638122.857
Germany,DEU,5224343287117.36
Djibouti,DJI,8030434256.31262
Dominica,DMA,1240639596.30121
Denmark,DNK,426944264564.674
Dominican Republic,DOM,276888443219.725
Algeria,DZA,725711643445.634
East Asia & Pacific (excluding high income),EAP,43791401237197.5
Early-demographic dividend,EAR,43295316804126.8
East Asia & Pacific,EAS,57357733085646.2
Europe & Central Asia (excluding high income),ECA,6077209192978.04
Europe & Central Asia,ECS,41527433948172.4
Ecuador,ECU,252727662993.613
"Egypt, Arab Rep.",EGY,1957627322504.22
Euro area,EMU,19804634838553.4
Eritrea,ERI,
Spain,ESP,2367229021292.26
Estonia,EST,56526269527.8885
Ethiopia,ETH,381946190066.437
European Union,EUU,24404101007782.9
Fragile and conflict affected situations,FCS,6192512333729.87
Finland,FIN,315407096563.701
Fiji,FJI,12624462706.4514
France,FRA,3756585907158.45
Faroe Islands,FRO,3940289911.86911
"Micronesia, Fed. Sts.",FSM,432741079.241925
Gabon,GAB,48046268621.9384
United Kingdom,GBR,3642753739205.27
Georgia,GEO,92059436458.5108
Ghana,GHA,242906921529.863
Gibraltar,GIB,
Guinea,GIN,59260261425.5034
"Gambia, The",GMB,8439171637.60406
Guinea-Bissau,GNB,6041125849.26546
Equatorial Guinea,GNQ,29247753194.9258
Greece,GRC,389924903122.161
Grenada,GRD,2080601216.89334
Greenland,GRL,
Guatemala,GTM,232672713446.216
Guam,GUM,
Guyana,GUY,58605530526.6564
High income,HIC,82649122646855.1
"Hong Kong SAR, China",HKG,497749120777.738
Honduras,HND,71296514097.7746
Heavily indebted poor countries (HIPC),HPC,2991304877446.71
Croatia,HRV,157555222397.646
Haiti,HTI,33076710100.7338
Hungary,HUN,389051087730.184
IBRD only,IBD,91801588493220
IDA & IBRD total,IBT,101659185698578
IDA total,IDA,9885087458008.14
IDA blend,IDB,4545060636462.51
Indonesia,IDN,4102194303076.81
